source,target,weight
STOCK_0,STOCK_1,0.3515020459808048
STOCK_0,STOCK_6,0.2583583943243366
STOCK_0,STOCK_7,0.5138037765911314
STOCK_0,STOCK_8,0.6970402776234761
STOCK_1,STOCK_4,0.03633799827222661
STOCK_1,STOCK_7,0.5406989260635398
STOCK_2,STOCK_6,0.5653719521809714
STOCK_2,STOCK_9,0.5293061763327552
STOCK_3,STOCK_5,0.8557592845247086
STOCK_3,STOCK_6,0.23743116921289775
STOCK_4,STOCK_6,0.882720980765093
STOCK_4,STOCK_8,0.7187647104529796
STOCK_5,STOCK_8,0.9771543740150456
STOCK_6,STOCK_7,0.9856893654814098
STOCK_6,STOCK_9,0.960845295224895
STOCK_7,STOCK_9,0.40272720343790025
